,지역명,연도,월,평당분양가격
778,전남,2017,10,7606.5
779,경북,2017,10,7811.099999999999
780,경남,2017,10,8038.799999999999
781,제주,2017,10,10632.599999999999
782,서울,2017,11,21968.1
783,인천,2017,11,10890.0
784,경기,2017,11,11738.099999999999
785,부산,2017,11,12606.0
786,대구,2017,11,12071.4
787,광주,2017,11,9553.5
788,대전,2017,11,9180.6
789,울산,2017,11,11134.199999999999
790,세종,2017,11,9108.0
791,강원,2017,11,7652.7
792,충북,2017,11,6854.099999999999
793,충남,2017,11,7451.4
794,전북,2017,11,7260.0
795,전남,2017,11,7883.7
796,경북,2017,11,7887.0
797,경남,2017,11,8649.3
798,제주,2017,11,11748.0
799,서울,2017,12,22129.8
800,인천,2017,12,10949.4
801,경기,2017,12,11936.099999999999
802,부산,2017,12,12678.599999999999
803,대구,2017,12,11751.3
804,광주,2017,12,9556.8
805,대전,2017,12,8929.8
806,울산,2017,12,10434.599999999999
807,세종,2017,12,10431.3
808,강원,2017,12,7596.599999999999
809,충북,2017,12,6854.099999999999
810,충남,2017,12,7778.099999999999
811,전북,2017,12,7345.799999999999
812,전남,2017,12,7920.0
813,경북,2017,12,7887.0
814,경남,2017,12,8896.8
815,제주,2017,12,11807.4
816,서울,2018,1,21855.899999999998
817,인천,2018,1,10998.9
818,경기,2018,1,12691.8
819,부산,2018,1,12678.599999999999
820,대구,2018,1,11830.5
821,광주,2018,1,9550.199999999999
822,대전,2018,1,9055.199999999999
823,울산,2018,1,10434.599999999999
824,세종,2018,1,10431.3
825,강원,2018,1,7669.2
826,충북,2018,1,6854.099999999999
827,충남,2018,1,7900.2
828,전북,2018,1,7345.799999999999
829,전남,2018,1,7920.0
830,경북,2018,1,8055.299999999999
831,경남,2018,1,8896.8
832,제주,2018,1,11998.8
833,서울,2018,2,21882.3
834,인천,2018,2,11028.599999999999
835,경기,2018,2,12790.8
836,부산,2018,2,12705.0
837,대구,2018,2,11101.199999999999
838,광주,2018,2,9550.199999999999
839,대전,2018,2,9527.1
840,울산,2018,2,10474.199999999999
841,세종,2018,2,10431.3
842,강원,2018,2,7665.9
843,충북,2018,2,7147.799999999999
844,충남,2018,2,7900.2
845,전북,2018,2,7500.9
846,전남,2018,2,7774.799999999999
847,경북,2018,2,8055.299999999999
848,경남,2018,2,8903.4
849,제주,2018,2,12635.699999999999
850,서울,2018,3,22558.8
851,인천,2018,3,11408.099999999999
852,경기,2018,3,12790.8
853,부산,2018,3,12596.099999999999
854,대구,2018,3,11193.599999999999
855,광주,2018,3,9669.0
856,대전,2018,3,9527.1
857,울산,2018,3,10474.199999999999
858,세종,2018,3,10431.3
859,강원,2018,3,7890.299999999999
860,충북,2018,3,8101.5
861,충남,2018,3,7900.2
862,전북,2018,3,7467.9
863,전남,2018,3,7748.4
864,경북,2018,3,8052.0
865,경남,2018,3,8900.1
866,제주,2018,3,12952.5
867,서울,2018,4,22575.3
868,인천,2018,4,11408.099999999999
869,경기,2018,4,12734.699999999999
870,부산,2018,4,12747.9
871,대구,2018,4,11629.199999999999
872,광주,2018,4,9520.5
873,대전,2018,4,9807.6
874,울산,2018,4,10474.199999999999
875,세종,2018,4,10332.3
876,강원,2018,4,7514.099999999999
877,충북,2018,4,8682.3
878,충남,2018,4,7900.2
879,전북,2018,4,7646.099999999999
880,전남,2018,4,7771.5
881,경북,2018,4,8052.0
882,경남,2018,4,8877.0
883,제주,2018,4,12952.5
884,서울,2018,5,22832.699999999997
885,인천,2018,5,11338.8
886,경기,2018,5,13157.099999999999
887,부산,2018,5,12714.9
