,행정구역,연도,월,평당분양가격,인구수,경제활동인구,소득
353,전라남도,2015,8,6289.0,1796578,987000,285
354,경상북도,2015,8,7037.0,2677768,1478000,277
355,경상남도,2015,8,7665.0,3330230,1736000,276
356,제주특별자치도,2015,8,7343.0,599252,346000,229
357,서울특별시,2015,10,19275.3,9941162,5391000,326
358,인천광역시,2015,10,10437.9,2882868,1567000,272
359,경기도,2015,10,10355.4,12423017,6653000,285
360,부산광역시,2015,10,10269.6,3452260,1756000,262
361,대구광역시,2015,10,8850.6,2468755,1291000,241
362,광주광역시,2015,10,7986.0,1505906,755000,256
363,대전광역시,2015,10,8098.2,1542394,797000,285
364,울산광역시,2015,10,10074.9,1163719,590000,308
365,세종특별자치시,2015,10,8718.6,187202,0,0
366,강원도,2015,10,7151.099999999999,1516636,765000,256
367,충청북도,2015,10,6705.599999999999,1589264,862000,263
368,충청남도,2015,10,6926.7,2102811,1242000,293
369,전라북도,2015,10,6778.2,1835125,938000,254
370,전라남도,2015,10,6352.5,1796578,987000,285
371,경상북도,2015,10,7088.4,2677768,1478000,277
372,경상남도,2015,10,7560.299999999999,3330230,1736000,276
373,제주특별자치도,2015,10,7365.599999999999,599252,346000,229
374,서울특별시,2015,11,19965.0,9941162,5391000,326
375,인천광역시,2015,11,10507.2,2882868,1567000,272
376,경기도,2015,11,10223.4,12423017,6653000,285
377,부산광역시,2015,11,10332.3,3452260,1756000,262
378,대구광역시,2015,11,9071.7,2468755,1291000,241
379,광주광역시,2015,11,7999.2,1505906,755000,256
380,대전광역시,2015,11,8098.2,1542394,797000,285
381,울산광역시,2015,11,10041.9,1163719,590000,308
382,세종특별자치시,2015,11,8738.4,187202,0,0
383,강원도,2015,11,7164.299999999999,1516636,765000,256
384,충청북도,2015,11,6613.2,1589264,862000,263
385,충청남도,2015,11,6930.0,2102811,1242000,293
386,전라북도,2015,11,6788.099999999999,1835125,938000,254
387,전라남도,2015,11,6299.7,1796578,987000,285
388,경상북도,2015,11,7227.0,2677768,1478000,277
389,경상남도,2015,11,7583.4,3330230,1736000,276
390,제주특별자치도,2015,11,7365.599999999999,599252,346000,229
391,서울특별시,2015,12,19935.3,9941162,5391000,326
392,인천광역시,2015,12,10507.2,2882868,1567000,272
393,경기도,2015,12,10553.4,12423017,6653000,285
394,부산광역시,2015,12,10319.1,3452260,1756000,262
395,대구광역시,2015,12,9774.6,2468755,1291000,241
396,광주광역시,2015,12,8170.799999999999,1505906,755000,256
397,대전광역시,2015,12,8098.2,1542394,797000,285
398,울산광역시,2015,12,10041.9,1163719,590000,308
399,세종특별자치시,2015,12,8794.5,187202,0,0
400,강원도,2015,12,7164.299999999999,1516636,765000,256
401,충청북도,2015,12,6616.5,1589264,862000,263
402,충청남도,2015,12,7487.7,2102811,1242000,293
403,전라북도,2015,12,6543.9,1835125,938000,254
404,전라남도,2015,12,6299.7,1796578,987000,285
405,경상북도,2015,12,7197.299999999999,2677768,1478000,277
406,경상남도,2015,12,7613.099999999999,3330230,1736000,276
407,제주특별자치도,2015,12,7484.4,599252,346000,229
408,서울특별시,2016,1,20156.4,9842501,5372000,336
409,인천광역시,2016,1,10530.3,2907366,1598000,283
410,경기도,2016,1,10553.4,12600313,6767000,297
411,부산광역시,2016,1,10401.6,3446962,1754000,269
412,대구광역시,2016,1,10183.8,2461272,1301000,247
413,광주광역시,2016,1,8477.699999999999,1502125,753000,263
414,대전광역시,2016,1,8098.2,1536169,800000,298
415,울산광역시,2016,1,10051.8,1166202,599000,312
416,세종특별자치시,2016,1,8794.5,234410,0,0
417,강원도,2016,1,7170.9,1520686,771000,272
418,충청북도,2016,1,6626.4,1600904,867000,277
419,충청남도,2016,1,7491.0,2126174,1266000,307
420,전라북도,2016,1,6534.0,1835243,960000,261
421,전라남도,2016,1,6299.7,1798310,994000,293
422,경상북도,2016,1,7197.299999999999,2683339,1490000,291
423,경상남도,2016,1,7679.099999999999,3337708,1763000,288
424,제주특별자치도,2016,1,7484.4,618119,363000,238
425,서울특별시,2016,2,20166.3,9842501,5372000,336
426,인천광역시,2016,2,10533.6,2907366,1598000,283
427,경기도,2016,2,10622.7,12600313,6767000,297
428,부산광역시,2016,2,10408.2,3446962,1754000,269
429,대구광역시,2016,2,10111.2,2461272,1301000,247
430,광주광역시,2016,2,8477.699999999999,1502125,753000,263
431,대전광역시,2016,2,8098.2,1536169,800000,298
432,울산광역시,2016,2,10051.8,1166202,599000,312
433,세종특별자치시,2016,2,8794.5,234410,0,0
434,강원도,2016,2,7170.9,1520686,771000,272
435,충청북도,2016,2,6626.4,1600904,867000,277
436,충청남도,2016,2,7497.599999999999,2126174,1266000,307
437,전라북도,2016,2,6534.0,1835243,960000,261
438,전라남도,2016,2,6345.9,1798310,994000,293
439,경상북도,2016,2,7190.7,2683339,1490000,291
440,경상남도,2016,2,7781.4,3337708,1763000,288
441,제주특별자치도,2016,2,7484.4,618119,363000,238
442,서울특별시,2016,3,20370.9,9842501,5372000,336
443,인천광역시,2016,3,10527.0,2907366,1598000,283
444,경기도,2016,3,10609.5,12600313,6767000,297
445,부산광역시,2016,3,10487.4,3446962,1754000,269
446,대구광역시,2016,3,10292.7,2461272,1301000,247
447,광주광역시,2016,3,8547.0,1502125,753000,263
448,대전광역시,2016,3,8098.2,1536169,800000,298
449,울산광역시,2016,3,10117.8,1166202,599000,312
450,세종특별자치시,2016,3,8811.0,234410,0,0
451,강원도,2016,3,7240.2,1520686,771000,272
452,충청북도,2016,3,6534.0,1600904,867000,277
453,충청남도,2016,3,6979.5,2126174,1266000,307
454,전라북도,2016,3,6438.299999999999,1835243,960000,261
455,전라남도,2016,3,6339.299999999999,1798310,994000,293
456,경상북도,2016,3,7190.7,2683339,1490000,291
457,경상남도,2016,3,7863.9,3337708,1763000,288
458,제주특별자치도,2016,3,7636.2,618119,363000,238
459,서울특별시,2016,4,20595.3,9842501,5372000,336
460,인천광역시,2016,4,10685.4,2907366,1598000,283
461,경기도,2016,4,10556.7,12600313,6767000,297
462,부산광역시,2016,4,10457.7,3446962,1754000,269
463,대구광역시,2016,4,10335.6,2461272,1301000,247
464,광주광역시,2016,4,8910.0,1502125,753000,263
465,대전광역시,2016,4,8081.7,1536169,800000,298
466,울산광역시,2016,4,10137.6,1166202,599000,312
467,세종특별자치시,2016,4,8844.0,234410,0,0
468,강원도,2016,4,7062.0,1520686,771000,272
469,충청북도,2016,4,6494.4,1600904,867000,277
470,충청남도,2016,4,7157.7,2126174,1266000,307
471,전라북도,2016,4,6299.7,1835243,960000,261
472,전라남도,2016,4,6352.5,1798310,994000,293
473,경상북도,2016,4,7184.099999999999,2683339,1490000,291
474,경상남도,2016,4,7890.299999999999,3337708,1763000,288
475,제주특별자치도,2016,4,8972.699999999999,618119,363000,238
476,서울특별시,2016,5,20671.2,9842501,5372000,336
477,인천광역시,2016,5,10490.7,2907366,1598000,283
478,경기도,2016,5,11361.9,12600313,6767000,297
479,부산광역시,2016,5,10388.4,3446962,1754000,269
480,대구광역시,2016,5,10335.6,2461272,1301000,247
481,광주광역시,2016,5,8982.6,1502125,753000,263
482,대전광역시,2016,5,8134.5,1536169,800000,298
483,울산광역시,2016,5,10154.1,1166202,599000,312
484,세종특별자치시,2016,5,8844.0,234410,0,0
485,강원도,2016,5,6986.099999999999,1520686,771000,272
486,충청북도,2016,5,6534.0,1600904,867000,277
487,충청남도,2016,5,7147.799999999999,2126174,1266000,307
488,전라북도,2016,5,6418.5,1835243,960000,261
489,전라남도,2016,5,6359.099999999999,1798310,994000,293
490,경상북도,2016,5,7180.799999999999,2683339,1490000,291
491,경상남도,2016,5,7857.299999999999,3337708,1763000,288
492,제주특별자치도,2016,5,8880.3,618119,363000,238
493,서울특별시,2016,6,20486.4,9842501,5372000,336
494,인천광역시,2016,6,10573.2,2907366,1598000,283
495,경기도,2016,6,11688.6,12600313,6767000,297
496,부산광역시,2016,6,10395.0,3446962,1754000,269
497,대구광역시,2016,6,10342.2,2461272,1301000,247
498,광주광역시,2016,6,9032.1,1502125,753000,263
499,대전광역시,2016,6,8454.6,1536169,800000,298
500,울산광역시,2016,6,10127.7,1166202,599000,312
501,세종특별자치시,2016,6,8853.9,234410,0,0
502,강원도,2016,6,6943.2,1520686,771000,272
503,충청북도,2016,6,6755.099999999999,1600904,867000,277
504,충청남도,2016,6,7253.4,2126174,1266000,307
505,전라북도,2016,6,6372.299999999999,1835243,960000,261
506,전라남도,2016,6,6494.4,1798310,994000,293
507,경상북도,2016,6,7385.4,2683339,1490000,291
508,경상남도,2016,6,7883.7,3337708,1763000,288
509,제주특별자치도,2016,6,9329.1,618119,363000,238
510,서울특별시,2016,7,20638.2,9842501,5372000,336
